Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Euro area,EMU,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4054,3872,3684,3526,3377,3223,3066,2912,2748,2583,2420,2275,2142,2037,1949,1877,1813,1747,1688,1629,1572,1519,1475,1439,1406,1376,1344,1308,1265,1215,1171,1130,
Eritrea,ERI,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1874,1771,1423,1339,1262,1183,1120,1046,977,912,857,812,778,736,696,652,607,565,531,507,489,475,461,445,430,415,400,385,372,359,346,332,
Spain,ESP,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,560,517,479,444,414,388,367,350,333,315,297,279,262,252,245,239,235,231,228,223,217,212,207,202,195,188,179,171,161,151,144,136,
Estonia,EST,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,58,57,53,51,48,44,39,35,30,25,22,19,17,15,14,13,13,12,11,11,11,10,10,10,10,9,9,8,8,7,7,
Ethiopia,ETH,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75560,74651,75541,75175,74410,73117,71301,69120,66819,64439,61999,59514,56886,54165,51276,48176,44972,41666,38383,35126,32066,29220,26520,24039,21738,19604,17780,16268,15069,14171,13484,12918,
European Union,EUU,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6800,6476,6137,5979,5935,5906,5750,5443,4947,4391,3930,3610,3359,3163,3003,2876,2771,2664,2558,2444,2335,2236,2157,2106,2066,2025,1974,1914,1844,1764,1698,1637,
Fragile and conflict affected situations,FCS,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321684,319704,318787,321754,315335,312983,309247,305104,302232,296766,292611,288470,284067,279518,275519,270547,266235,261951,279780,254128,260214,248210,246756,245531,243922,241424,239413,235293,234321,232901,230019,228352,
Finland,FIN,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,60,57,55,53,52,51,51,50,48,46,44,42,39,37,35,33,31,29,28,27,26,25,25,24,23,23,22,21,21,20,19,
Fiji,FJI,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,130,125,119,114,108,102,97,92,87,81,76,71,66,62,58,54,52,49,47,46,45,44,43,43,42,50,41,41,40,40,39,
France,FRA,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,756,717,682,653,628,602,575,549,521,493,467,444,422,404,390,377,367,357,348,340,332,326,321,318,315,311,307,301,295,289,281,272,
Faroe Islands,FRO,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,15,16,16,15,15,14,14,13,13,12,22,12,12,11,11,11,11,10,10,9,9,9,9,8,8,8,7,7,7,6,
Gabon,GAB,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293,297,301,306,311,314,317,319,320,321,320,317,314,312,309,308,307,307,307,306,306,305,303,303,304,305,307,308,309,308,304,299,
United Kingdom,GBR,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,633,610,590,570,549,529,511,494,476,460,444,428,414,401,389,376,361,345,331,320,312,307,306,306,305,304,301,296,288,278,267,255,
Georgia,GEO,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175,177,147,136,126,118,111,104,97,90,82,75,69,66,63,61,60,59,58,57,57,57,56,56,56,56,56,55,52,50,47,45,
Ghana,GHA,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8164,8078,7965,7813,7652,7511,7356,7193,7019,6835,6644,6443,6248,6085,5954,5871,5812,5762,5710,5645,5575,5499,5409,5320,5241,5161,5085,5024,4973,4913,4838,4735,
Gibraltar,GIB,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5167,5244,5291,5290,5330,5335,5348,5355,5354,5343,5315,5277,5229,5176,5110,5050,4980,4903,4834,4777,4737,4706,4695,4690,4692,4701,4697,4686,4658,4615,4571,4534,
"Gambia, The",GMB,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,653,656,659,660,659,654,647,639,630,619,607,593,579,566,556,546,535,526,517,509,502,495,490,484,477,469,461,452,444,435,424,413,
Guinea-Bissau,GNB,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1210,1175,1146,1118,1089,1052,1011,1065,930,902,879,862,847,831,814,796,776,756,734,711,686,660,633,604,574,543,516,492,474,460,445,431,
Equatorial Guinea,GNQ,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283,299,315,332,348,360,369,375,378,380,380,385,385,382,377,371,363,354,346,342,344,355,371,389,405,418,421,416,408,398,388,379,
Greece,GRC,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,116,107,100,93,88,84,81,78,75,73,72,70,68,66,64,63,61,59,57,55,53,51,50,49,48,46,44,41,38,36,33,
Grenada,GRD,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,7,6,6,6,6,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4,
Greenland,GRL,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2080,1938,1793,1658,1546,1463,1398,1346,1301,1257,1211,1166,1123,1084,1049,1328,985,952,916,878,839,803,771,746,724,704,685,665,642,619,594,570,
